"Snapshot","VmName","PowerState","CreationDate","AgeDays","ParentSnapshot","IsCurrentSnapshot","SnapshotSizeGB","Description"
"oppmsgraf01a_vm-160_1","oppmsgraf01a","PoweredOff","26/06/2019 15:55:36","113 Jours",,"True","64,64 GB","Snapshot g?n?r? par VMware vSphere Update Manager ? 2019-06-26 15:55:36.694 (Heure locale d'Update Manager). Le snapshot sera supprim? automatiquement ? 2019-06-26 18:25:36.694."
"oppmspen01a_vm-156_1","oppmspen01a","PoweredOff","26/06/2019 15:55:36","113 Jours",,"True","21,19 GB","Snapshot g?n?r? par VMware vSphere Update Manager ? 2019-06-26 15:55:36.600 (Heure locale d'Update Manager). Le snapshot sera supprim? automatiquement ? 2019-06-26 18:25:36.600."
"oppmsobuout02a_Rouben_vm-165_1","oppmsobuout02a_Rouben","PoweredOff","26/06/2019 15:55:36","113 Jours",,"True","6,22 GB","Snapshot g?n?r? par VMware vSphere Update Manager ? 2019-06-26 15:55:36.725 (Heure locale d'Update Manager). Le snapshot sera supprim? automatiquement ? 2019-06-26 18:25:36.725."
"oppmsobuout01a_Rouben_vm-157_1","oppmsobuout01a_Rouben","PoweredOff","26/06/2019 15:55:36","113 Jours",,"True","2,05 GB","Snapshot g?n?r? par VMware vSphere Update Manager ? 2019-06-26 15:55:36.710 (Heure locale d'Update Manager). Le snapshot sera supprim? automatiquement ? 2019-06-26 18:25:36.710."
"id-fr-dcam3-a_vm-317_1","id-fr-dcam3-a","PoweredOff","26/06/2019 15:55:41","113 Jours",,"True","0,56 GB","Snapshot g?n?r? par VMware vSphere Update Manager ? 2019-06-26 15:55:42.138 (Heure locale d'Update Manager). Le snapshot sera supprim? automatiquement ? 2019-06-26 18:25:42.138."
"id-fr-dcam1-a_vm-260_1","id-fr-dcam1-a","PoweredOff","26/06/2019 15:55:37","113 Jours",,"True","1,28 GB","Snapshot g?n?r? par VMware vSphere Update Manager ? 2019-06-26 15:55:38.051 (Heure locale d'Update Manager). Le snapshot sera supprim? automatiquement ? 2019-06-26 18:25:38.051."
"uaeuifrresws1a_vm-273_1","uaeuifrresws1a","PoweredOff","26/06/2019 15:55:38","113 Jours",,"True","0,38 GB","Snapshot g?n?r? par VMware vSphere Update Manager ? 2019-06-26 15:55:39.018 (Heure locale d'Update Manager). Le snapshot sera supprim? automatiquement ? 2019-06-26 18:25:39.018."
"opeuifrresws1a_vm-297_1","opeuifrresws1a","PoweredOff","26/06/2019 15:55:40","113 Jours",,"True","1,28 GB","Snapshot g?n?r? par VMware vSphere Update Manager ? 2019-06-26 15:55:40.485 (Heure locale d'Update Manager). Le snapshot sera supprim? automatiquement ? 2019-06-26 18:25:40.485."
"opeuifrresws3a_vm-316_1","opeuifrresws3a","PoweredOff","26/06/2019 15:55:41","113 Jours",,"True","1,28 GB","Snapshot g?n?r? par VMware vSphere Update Manager ? 2019-06-26 15:55:42.154 (Heure locale d'Update Manager). Le snapshot sera supprim? automatiquement ? 2019-06-26 18:25:42.154."
"uaeuifrimgfws1a_vm-275_1","uaeuifrimgfws1a","PoweredOff","26/06/2019 15:55:38","113 Jours",,"True","0,28 GB","Snapshot g?n?r? par VMware vSphere Update Manager ? 2019-06-26 15:55:39.065 (Heure locale d'Update Manager). Le snapshot sera supprim? automatiquement ? 2019-06-26 18:25:39.065."
"opeuifrresws2a_vm-246_1","opeuifrresws2a","PoweredOff","26/06/2019 15:55:37","113 Jours",,"True","1,27 GB","Snapshot g?n?r? par VMware vSphere Update Manager ? 2019-06-26 15:55:37.817 (Heure locale d'Update Manager). Le snapshot sera supprim? automatiquement ? 2019-06-26 18:25:37.817."
